Company,Address,Website,Business Type,Industry,Offer,Products,Email Address,Phone Number,Types of Workers Needed,Ratings of workers,Date Accessed,
"INFINITY AUTO TRADERS PTY LTD                                                                       	617097524	APTY	LMSH	PROP	REGD	31/01/2017				Y	97617097524		",,,,,,,,,,,,
"ACB569 HOLDINGS PTY LTD                                                                             	607497110	APTY	LMSH	PROP	REGD	06/08/2015				Y	41607497110		",,,,,,,,,,,,
"DE NOVO GROUP PTY LTD                                                                               	612979861	APTY	LMSH	PROP	REGD	14/06/2016				Y	80612979861		",,,,,,,,,,,,
"ORTON BYRON DEVELOPMENTS PTY LTD                                                                    	165844860	APTY	LMSH	PROP	REGD	17/09/2013				Y	86165844860		",,,,,,,,,,,,
"BAY HOUSE INVESTMENTS PTY LIMITED	080784612	APTY	LMSH	PSTC	REGD	18/11/1997				Y	0		",,,,,,,,,,,,
"DAVIS FAMILY HOLDINGS PTY LTD                                                                       	633607566	APTY	LMSH	PROP	REGD	21/05/2019				Y	0		",,,,,,,,,,,,
"PGMK DENTAL PTY LTD                                                                                 	649797151	APTY	LMSH	PROP	REGD	28/04/2021				Y	71649797151		",,,,,,,,,,,,
"WADHA TRADING PTY LTD                                                                               	159088883	APTY	LMSH	PROP	REGD	20/06/2012				Y	37159088883		",,,,,,,,,,,,
"MEEK DESIGN AND CONSTRUCTION PTY. LIMITED	128434935	APTY	LMSH	PROP	REGD	13/11/2007				Y	73128434935		",,,,,,,,,,,,
"OGGI E SEMPRE PTY LTD                                                                               	158470332	APTY	LMSH	PROP	REGD	21/05/2012				Y	0		",,,,,,,,,,,,
"ATTARD FAMILY HOLDINGS PTY LIMITED                                                                  	606251487	APTY	LMSH	PROP	REGD	04/06/2015				Y	69606251487		",,,,,,,,,,,,
"EXCLUSIVE SECURITY SERVICES PTY LTD                                                                 	627889865	APTY	LMSH	PROP	REGD	01/08/2018				Y	51627889865		",,,,,,,,,,,,
"FL & M SIXSMITH PTY LTD                                                                             	165781028	APTY	LMSH	PSTC	REGD	12/09/2013				Y	0		",,,,,,,,,,,,
"S M BOND PTY LTD	602752045	APTY	LMSH	PSTC	REGD	07/11/2014				Y	0		",,,,,,,,,,,,
"POZELLES PTY LTD                                                                                    	141226673	APTY	LMSH	PROP	REGD	21/12/2009				Y	0		",,,,,,,,,,,,
"PROSCI PTY LTD                                                                                      	077394355	APTY	LMSH	PROP	REGD	18/02/1997				Y	57077394355		",,,,,,,,,,,,
"APM EQUIPMENT PTY LTD                                                                               	649109740	APTY	LMSH	PROP	REGD	30/03/2021				Y	55649109740		",,,,,,,,,,,,
"SDL HOLDINGS PTY LTD                                                                                	143927422	APTY	LMSH	PROP	REGD	28/05/2010				Y	85143927422		",,,,,,,,,,,,
"TAG OFFICES PTY LTD                                                                                 	115981416	APTY	LMSH	PROP	REGD	29/08/2005				Y	39115981416		",,,,,,,,,,,,
"GILGEN LAWLER HOLDINGS PTY LTD                                                                      	621309608	APTY	LMSH	PROP	REGD	25/08/2017				Y	34621309608		",,,,,,,,,,,,
"TC CORPORATION PTY LTD	628422097	APTY	LMSH	PROP	SOFF	27/08/2018				Y	0		",,,,,,,,,,,,
"ANDREW NISSEN PTY LTD                                                                               	625870671	APTY	LMSH	PROP	REGD	01/05/2018				Y	0		",,,,,,,,,,,,
"THIS IS THE DAY PTY LTD                                                                             	625551822	APTY	LMSH	PROP	REGD	12/04/2018				Y	87625551822		",,,,,,,,,,,,
"RED PHOENIX PTY LTD                                                                                 	115529390	APTY	LMSH	PROP	REGD	29/07/2005				Y	30115529390		",,,,,,,,,,,,
"MZM CARE SERVICES PTY LTD                                                                           	652524180	APTY	LMSH	PROP	REGD	03/08/2021				Y	39652524180		",,,,,,,,,,,,
"MJOLLNIR PTY LTD                                                                                    	101858922	APTY	LMSH	PROP	REGD	28/08/2002				Y	0		",,,,,,,,,,,,
"TIM ROBSON CUSTODIAN PTY LTD                                                                        	153845731	APTY	LMSH	PROP	REGD	20/10/2011				Y	0		",,,,,,,,,,,,
"SABBIA E STELLE PTY LTD                                                                             	626198481	APTY	LMSH	PROP	REGD	16/05/2018				Y	47626198481		",,,,,,,,,,,,
"COAST2COUNTRY BUILDING PTY LTD                                                                      	649033947	APTY	LMSH	PROP	REGD	26/03/2021				Y	35649033947		",,,,,,,,,,,,
"PARLOUR FAMILY INVESTMENTS PTY LTD                                                                  	120173935	APTY	LMSH	PROP	REGD	14/06/2006				Y	36120173935		",,,,,,,,,,,,
"RITEK SYSTEMS PTY LTD                                                                               	642239585	APTY	LMSH	PROP	REGD	01/07/2020				Y	18642239585		",,,,,,,,,,,,
"GO DOLLARS BURPENGARY PTY LTD                                                                       	643021327	APTY	LMSH	PROP	REGD	28/07/2020				Y	60643021327		",,,,,,,,,,,,
"K & L CLARE SUPERANNUATION PTY LTD                                                                  	153767545	APTY	LMSH	PSTC	REGD	17/10/2011				Y	0		",,,,,,,,,,,,
"CEDAR & CANE HOLDINGS PTY LTD                                                                       	653621026	APTY	LMSH	PROP	REGD	13/09/2021				Y	0		",,,,,,,,,,,,
"ESTUEF ENTERPRISES PTY LTD	654887304	APTY	LMSH	PROP	REGD	28/10/2021				Y	12654887304		",,,,,,,,,,,,
"RABVET PTY LTD                                                                                      	143004755	APTY	LMSH	PROP	REGD	08/04/2010				Y	74143004755		",,,,,,,,,,,,
"FMS CAPITAL PTY LTD                                                                                 	161948698	APTY	LMSH	PROP	REGD	15/01/2013				Y	0		",,,,,,,,,,,,
"CLATEX PTY LTD                                                                                      	603460868	APTY	LMSH	PROP	REGD	19/12/2014				Y	0		",,,,,,,,,,,,
"PERPETUAL FINANCIAL SERVICES PTY LTD                                                                	168959993	APTY	LMSH	PROP	REGD	07/04/2014				Y	0		",,,,,,,,,,,,
"ONSHORE HANDYMAN SERVICES PTY LTD                                                                   	626761288	APTY	LMSH	PROP	REGD	12/06/2018				Y	14626761288		",,,,,,,,,,,,
"VINDOM CORPORATION PTY LTD                                                                          	083215212	APTY	LMSH	PROP	REGD	01/07/1998				Y	37083215212		",,,,,,,,,,,,
"B.I.T. SOLUTIONS PTY. LTD.                                                                          	083718183	APTY	LMSH	PROP	REGD	04/08/1998				Y	97083718183		",,,,,,,,,,,,
"COSTELLO LEGACY PTY LTD                                                                             	165393420	APTY	LMSH	PROP	REGD	20/08/2013				Y	0		",,,,,,,,,,,,
"ZFORM DISPLAY SYSTEMS PTY LTD                                                                       	091293346	APTY	LMSH	PROP	REGD	21/01/2000				Y	20091293346		",,,,,,,,,,,,
"PESTICOM PTY LTD                                                                                    	620885001	APTY	LMSH	PROP	REGD	04/08/2017				Y	94620885001		",,,,,,,,,,,,
"D&K GONANO SMSF PTY LTD                                                                             	601940201	APTY	LMSH	PSTC	REGD	22/09/2014				Y	0		",,,,,,,,,,,,
"GENERAL PRACTICE TRAINING QUEENSLAND LIMITED                                                        	100274324	APUB	LMGT	ULSN	REGD	18/04/2002				Y	61100274324		",,,,,,,,,,,,
"STEPHANOS ONE PTY LTD                                                                               	649680473	APTY	LMSH	PROP	REGD	23/04/2021				Y	0		",,,,,,,,,,,,
"HUGHES & HILL FABRICATION PTY LTD                                                                   	119991276	APTY	LMSH	PROP	REGD	01/06/2006				Y	17119991276		",,,,,,,,,,,,
"DG & SM JACKSON HOLDINGS PTY LTD                                                                    	613827035	APTY	LMSH	PROP	REGD	22/07/2016				Y	0		",,,,,,,,,,,,
"STALLIONS C.L PTY LTD                                                                               	097797665	APTY	LMSH	PROP	EXAD	10/08/2001				Y	88097797665		",,,,,,,,,,,,
"DRUNKEN MONKEY PTY LTD                                                                              	601327397	APTY	LMSH	PROP	REGD	19/08/2014				Y	0		",,,,,,,,,,,,
"VANIWORTH PTY. LTD.                                                                                 	055152040	APTY	LMSH	PROP	REGD	13/03/1992				Y	59055152040		",,,,,,,,,,,,
"MR MOO CUSTODIAN PTY LTD                                                                            	624753359	APTY	LMSH	PSTC	REGD	01/03/2018				Y	0		",,,,,,,,,,,,
"STEADFAST TASWIDE INSURANCE BROKERS PTY LTD                                                         	092613664	APTY	LMSH	PROP	REGD	28/04/2000				Y	24092613664		",,,,,,,,,,,,
"SSJ ENGINEERING PTY. LTD.	090744077	APTY	LMSH	PROP	REGD	30/11/1999				Y	88090744077		",,,,,,,,,,,,
"MASTER UNITED PTY LTD                                                                               	634969609	APTY	LMSH	PROP	REGD	19/07/2019				Y	47634969609		",,,,,,,,,,,,
"CENTA AUSTRALIA PTY LTD                                                                             	115721956	APTY	LMSH	PROP	REGD	11/08/2005				Y	69115721956		",,,,,,,,,,,,
"SAPERE RESEARCH GROUP LIMITED                                                                       	096242581	FNOS	NONE	NONE	REGD	19/04/2001				Y	50096242581		",,,,,,,,,,,,
"CLIPEUS APAC PTY LTD                                                                                	638407566	APTY	LMSH	PROP	REGD	10/01/2020				Y	0		",,,,,,,,,,,,
"GOOD GREAT EXPERIENCES PTY LTD                                                                      	639714926	APTY	LMSH	PROP	REGD	12/03/2020				Y	39639714926		",,,,,,,,,,,,
"CS SERVICES (NSW) PTY LTD                                                                           	633618416	APTY	LMSH	PROP	REGD	22/05/2019				Y	41633618416		",,,,,,,,,,,,
"ZOMEG INVESTMENTS PTY LTD                                                                           	119143476	APTY	LMSH	PROP	REGD	05/04/2006				Y	88119143476		",,,,,,,,,,,,
"BONNEVILLE HOLDINGS PTY LTD                                                                         	620370210	APTY	LMSH	PROP	REGD	11/07/2017				Y	98620370210		",,,,,,,,,,,,
"ABBEY ROAD SUPER FUND BT PTY LTD	602818011	APTY	LMSH	PROP	REGD	12/11/2014				Y	0		",,,,,,,,,,,,
"M3 SPACE JOINERY PTY LTD	655209699	APTY	LMSH	PROP	REGD	10/11/2021				Y	0		",,,,,,,,,,,,
"ALIGNED FOODS PTY LTD                                                                               	625659127	APTY	LMSH	PROP	REGD	18/04/2018				Y	73625659127		",,,,,,,,,,,,
"DREAM ON HOLDINGS PTY LTD                                                                           	639111229	APTY	LMSH	PROP	REGD	14/02/2020				Y	0		",,,,,,,,,,,,
"PACIFIC COAST BUILDING PTY LTD                                                                      	158693666	APTY	LMSH	PROP	REGD	31/05/2012				Y	51158693666		",,,,,,,,,,,,
"MEM ELECTRIC PTY LTD                                                                                	607233643	APTY	LMSH	PROP	REGD	23/07/2015				Y	83607233643		",,,,,,,,,,,,
"GENERO CONSULTING PTY LTD                                                                           	137100737	APTY	LMSH	PROP	REGD	14/05/2009				Y	90137100737		",,,,,,,,,,,,
"MABBOTT MINING SERVICES PTY LTD	132836349	APTY	LMSH	PROP	SOFF	20/08/2008				Y	45132836349		",,,,,,,,,,,,
"HYDROIL SERVICE CENTRE PTY LTD                                                                      	643476126	APTY	LMSH	PROP	REGD	13/08/2020				Y	42643476126		",,,,,,,,,,,,
"MY TRAINER CORPORATION PTY LTD	102825105	APTY	LMSH	PROP	REGD	14/11/2002				Y	80102825105		",,,,,,,,,,,,
"RELLEKIUM PTY. LTD.                                                                                 	117948615	APTY	LMSH	PROP	REGD	19/01/2006				Y	56117948615		",,,,,,,,,,,,
"B C CONCRETING PTY LTD                                                                              	162151466	APTY	LMSH	PROP	REGD	31/01/2013				Y	55162151466		",,,,,,,,,,,,
"CMJ BALUSTRADE PTY LTD                                                                              	640082042	APTY	LMSH	PROP	REGD	01/04/2020				Y	19640082042		",,,,,,,,,,,,
"THOMMO'S AUSTRALIA PTY. LIMITED                                                                     	101539708	APTY	LMSH	PROP	REGD	31/07/2002				Y	82101539708		",,,,,,,,,,,,
"CASEY DABOVIC PTY LTD                                                                               	155988588	APTY	LMSH	PROP	REGD	29/02/2012				Y	23155988588		",,,,,,,,,,,,
"DIRTY RASCAL WINE CO PTY LTD                                                                        	641491689	APTY	LMSH	PROP	REGD	04/06/2020				Y	43641491689		",,,,,,,,,,,,
"OJELLA PTY LTD                                                                                      	620686937	APTY	LMSH	PSTC	REGD	26/07/2017				Y	0		",,,,,,,,,,,,
"J & S AUTOMOTIVE PTY LTD                                                                            	153292196	APTY	LMSH	PROP	REGD	19/09/2011				Y	70153292196		",,,,,,,,,,,,
"TEMUKA TRADING PTY LTD                                                                              	636626956	APTY	LMSH	PROP	REGD	04/10/2019				Y	70636626956		",,,,,,,,,,,,
"IMPRESSIVE TILING PTY LTD                                                                           	122152005	APTY	LMSH	PROP	REGD	11/10/2006				Y	65122152005		",,,,,,,,,,,,
"R L FLEAY HOLDINGS PTY LTD                                                                          	626224744	APTY	LMSH	PROP	REGD	17/05/2018				Y	0		",,,,,,,,,,,,
"DABKAM PTY LIMITED                                                                                  	169394012	APTY	LMSH	PROP	REGD	06/05/2014				Y	0		",,,,,,,,,,,,
"UNITED INVESTMENT & MANAGEMENT PTY LTD                                                              	105747788	APTY	LMSH	PROP	REGD	01/08/2003				Y	93105747788		",,,,,,,,,,,,
"NEXT REACH ACCOMMODATION PTY LTD                                                                    	654280458	APTY	LMSH	PROP	REGD	06/10/2021				Y	0		",,,,,,,,,,,,
"MELMED ELECTRICAL PTY LTD                                                                           	622498006	APTY	LMSH	PROP	REGD	26/10/2017				Y	0		",,,,,,,,,,,,
"A J DOBSON PROPERTY PTY LTD                                                                         	601091589	APTY	LMSH	PROP	REGD	05/08/2014				Y	0		",,,,,,,,,,,,
"ONETEST PTY LTD                                                                                     	167332201	APTY	LMSH	PROP	REGD	20/12/2013				Y	0		",,,,,,,,,,,,
"ATKINS CHIROPRACTIC PTY LTD                                                                         	632942548	APTY	LMSH	PROP	REGD	16/04/2019				Y	0		",,,,,,,,,,,,
"INDYKARE PTY LTD                                                                                    	653753256	APTY	LMSH	PROP	REGD	16/09/2021				Y	0		",,,,,,,,,,,,
"PRASAD FAMILY SUPER INVESTMENTS PTY LTD                                                             	614876452	APTY	LMSH	PSTC	REGD	19/09/2016				Y	0		",,,,,,,,,,,,
"CRAIG SIMPSON PTY LTD                                                                               	639205440	APTY	LMSH	PROP	REGD	18/02/2020				Y	0		",,,,,,,,,,,,
"CMB CIVIL AND MINING SERVICES PTY LTD                                                               	625762183	APTY	LMSH	PROP	REGD	24/04/2018				Y	29625762183		",,,,,,,,,,,,
"MPI GLOBAL PTY LTD                                                                                  	166048666	APTY	LMSH	PROP	REGD	30/09/2013				Y	15166048666		",,,,,,,,,,,,
"THE ELEPHANTA MARKETING SOLUTIONS PROPRIETARY LTD	621480957	APTY	LMSH	PROP	REGD	04/09/2017				Y	32621480957		",,,,,,,,,,,,
"BEE FREE PTY LTD	609006840	APTY	LMSH	PROP	REGD	28/10/2015				Y	19609006840		",,,,,,,,,,,,
"THE TAJ COFFEE AND SWEETS PTY LTD                                                                   	639295980	APTY	LMSH	PROP	REGD	21/02/2020				Y	0		",,,,,,,,,,,,
"PBRN INVESTMENTS PTY. LTD.                                                                          	156015655	APTY	LMSH	PROP	REGD	01/03/2012				Y	0		",,,,,,,,,,,,
"FREEDOM PERTH PTY LTD                                                                               	101540934	APTY	LMSH	PROP	REGD	31/07/2002				Y	94101540934		",,,,,,,,,,,,
"LARSON EDUCATION PTY LTD                                                                            	614182946	APTY	LMSH	PROP	REGD	11/08/2016				Y	53614182946		",,,,,,,,,,,,
"MKL PLUS PTY LTD                                                                                    	121352583	APTY	LMSH	PROP	REGD	22/08/2006				Y	59121352583		",,,,,,,,,,,,
"CREA & SUAREZ PTY LTD                                                                               	601403427	APTY	LMSH	PROP	REGD	21/08/2014				Y	0		",,,,,,,,,,,,
"DALCORN PROPERTY PTY LTD                                                                            	160561946	APTY	LMSH	PROP	REGD	28/09/2012				Y	0		",,,,,,,,,,,,
"PETER & MARGO SUPER PTY LTD                                                                         	602375495	APTY	LMSH	PSTC	REGD	16/10/2014				Y	0		",,,,,,,,,,,,
"THE ALTERNATE ROOT PTY LTD                                                                          	651077959	APTY	LMSH	PROP	REGD	16/06/2021				Y	24651077959		",,,,,,,,,,,,
"LAC ACCOUNTING & TAXATION PTY. LTD.                                                                 	110365252	APTY	LMSH	PROP	REGD	05/08/2004				Y	47110365252		",,,,,,,,,,,,
"DALBY FAMILY DENTIST PTY LTD                                                                        	645414339	APTY	LMSH	PROP	REGD	26/10/2020				Y	0		",,,,,,,,,,,,
"CRUZN PTY. LTD.                                                                                     	068150881	APTY	LMSH	PROP	REGD	09/02/1995				Y	0		",,,,,,,,,,,,
"SAHU KHAN PTY LIMITED                                                                               	155382611	APTY	LMSH	PROP	REGD	30/01/2012				Y	36155382611		",,,,,,,,,,,,
"CORNA PTY LTD                                                                                       	640179924	APTY	LMSH	PROP	REGD	07/04/2020				Y	58640179924		",,,,,,,,,,,,
"TROPIC CRANE HIRE PTY. LTD.                                                                         	094486343	APTY	LMSH	PROP	REGD	14/09/2000				Y	99094486343		",,,,,,,,,,,,
"ST CLAIR ANIMAL HOSPITAL PTY LIMITED                                                                	162154332	APTY	LMSH	PROP	REGD	31/01/2013				Y	69162154332		",,,,,,,,,,,,
"ONE STOP FASTENERS PTY LTD                                                                          	618305829	APTY	LMSH	PROP	REGD	31/03/2017				Y	48618305829		",,,,,,,,,,,,
"M & G DENTAL SERVICES PTY LTD                                                                       	635791310	APTY	LMSH	PROP	REGD	26/08/2019				Y	61635791310		",,,,,,,,,,,,
"SHINO DEVELOPMENT GROUP PTY LTD                                                                     	169511862	APTY	LMSH	PROP	REGD	13/05/2014				Y	30169511862		",,,,,,,,,,,,
"FISH NOMINEES PTY LTD                                                                               	129554758	APTY	LMSH	PROP	REGD	05/02/2008				Y	0		",,,,,,,,,,,,
"TRIBECA OPERATIONS PTY LTD                                                                          	142331137	APTY	LMSH	PROP	REGD	01/03/2010				Y	57142331137		",,,,,,,,,,,,
"TRENTFER PTY LTD                                                                                    	143822940	APTY	LMSH	PSTC	REGD	24/05/2010				Y	0		",,,,,,,,,,,,
"ASTRIS LIFECARE PTY LTD                                                                             	605565900	APTY	LMSH	PROP	REGD	30/04/2015				Y	91605565900		",,,,,,,,,,,,
"AURAWELL PTY LTD                                                                                    	101167686	APTY	LMSH	PROP	REGD	28/06/2002				Y	28101167686		",,,,,,,,,,,,
"ENNY HAGGLE PTY LTD                                                                                 	152096029	APTY	LMSH	PROP	REGD	14/07/2011				Y	0		",,,,,,,,,,,,
"VERA VALE PARK PTY. LTD.                                                                            	079817440	APTY	LMSH	PROP	REGD	22/08/1997				Y	0		",,,,,,,,,,,,
"JWS INVESTMENTS NO.1 PTY LTD	609753282	APTY	LMSH	PROP	REGD	09/12/2015				Y	0		",,,,,,,,,,,,
"AIA UNITED PTY LTD                                                                                  	647466699	APTY	LMSH	PROP	REGD	28/01/2021				Y	0		",,,,,,,,,,,,
"11 LAKE DRIVE PTY LTD                                                                               	651923214	APTY	LMSH	PROP	REGD	13/07/2021				Y	0		",,,,,,,,,,,,
"S.L.R INVESTMENT GROUP PTY. LTD.	603297516	APTY	LMSH	PSTC	REGD	10/12/2014				Y	0		",,,,,,,,,,,,
"SLADE FAMILY HOLDINGS PTY LIMITED                                                                   	124406793	APTY	LMSH	PROP	REGD	14/03/2007				Y	0		",,,,,,,,,,,,
"CARRARA PTY LTD                                                                                     	142471707	APTY	LMSH	PROP	REGD	09/03/2010				Y	54142471707		",,,,,,,,,,,,
"W AND T LUCKY ASIAN SUPERMARKET PTY LTD                                                             	650159596	APTY	LMSH	PROP	REGD	12/05/2021				Y	67650159596		",,,,,,,,,,,,
"JC FAMILY SUPER PTY LTD                                                                             	610516633	APTY	LMSH	PSTC	REGD	02/02/2016				Y	0		",,,,,,,,,,,,
"FOX EQUIPMENT PTY LTD                                                                               	604430186	APTY	LMSH	PROP	REGD	25/02/2015				Y	75604430186		",,,,,,,,,,,,
"101 DE BEYERS INVESTMENTS PTY LTD                                                                   	639851273	APTY	LMSH	PROP	REGD	19/03/2020				Y	13639851273		",,,,,,,,,,,,
"SEARCH AND RESCUE SYSTEMS (AUSTRALIA) PTY LTD	637219713	APTY	LMSH	PROP	REGD	04/11/2019				Y	48637219713		",,,,,,,,,,,,
"KAYDEN NOMINEES PTY LTD                                                                             	068971684	APTY	LMSH	PROP	REGD	06/04/1995				Y	74068971684		",,,,,,,,,,,,
"COMFORT SLEEP INTERNATIONAL PTY LTD                                                                 	640280717	APTY	LMSH	PROP	REGD	14/04/2020				Y	0		",,,,,,,,,,,,
"W-H COMMERCIAL PTY LTD                                                                              	621049321	APTY	LMSH	PROP	REGD	12/08/2017				Y	72621049321		",,,,,,,,,,,,
"OXFORD LANE MEDIA PTY LTD                                                                           	643351053	APTY	LMSH	PROP	REGD	10/08/2020				Y	70643351053		",,,,,,,,,,,,
"KAIYANG INTERNATIONAL PTY LTD                                                                       	650056698	APTY	LMSH	PROP	REGD	09/05/2021				Y	0		",,,,,,,,,,,,
"ESHARA INVESTMENTS PTY. LIMITED                                                                     	615139636	APTY	LMSH	PROP	REGD	04/10/2016				Y	72615139636		",,,,,,,,,,,,
"LUCIEM PTY LTD                                                                                      	629329979	APTY	LMSH	PROP	REGD	11/10/2018				Y	40629329979		",,,,,,,,,,,,
"NEWGROUND MOGGILL VILLAGE PTY LTD                                                                   	639912422	APTY	LMSH	PROP	REGD	23/03/2020				Y	20639912422		",,,,,,,,,,,,
"WAYNE MITCHELL NOMINEES PTY. LTD.                                                                   	074329678	APTY	LMSH	PROP	REGD	11/06/1996				Y	43074329678		",,,,,,,,,,,,
"MYOM AUSTRALIA PTY LTD                                                                              	153473208	APTY	LMSH	PROP	REGD	28/09/2011				Y	0		",,,,,,,,,,,,
"AUSTRALIAN PILOT TRAINING ALLIANCE PTY LTD                                                          	119046285	APTY	LMSH	PROP	REGD	30/03/2006				Y	90119046285		",,,,,,,,,,,,
"BUZZIRK MOBILE PTY LTD                                                                              	137742771	APTY	LMSH	PROP	REGD	18/06/2009				Y	12137742771		",,,,,,,,,,,,
"CENRIC GROUP PTY LTD                                                                                	608343362	APTY	LMSH	PROP	REGD	21/09/2015				Y	86608343362		",,,,,,,,,,,,
"BERNARD NOMINEES NO. 1 PTY. LIMITED                                                                 	645208902	APTY	LMSH	PROP	REGD	19/10/2020				Y	87645208902		",,,,,,,,,,,,
"ONSHORE ELECTRICAL SOLUTIONS ADELAIDE PTY LTD	646427198	APTY	LMSH	PROP	REGD	07/12/2020				Y	84646427198		",,,,,,,,,,,,
"CAMPING CARTEL PTY LTD                                                                              	623523839	APTY	LMSH	PROP	REGD	20/12/2017				Y	47623523839		",,,,,,,,,,,,
"METACOUSTICS TECHNOLOGY PTY. LIMITED                                                                	086579099	APTY	LMSH	PSTC	REGD	05/03/1999				Y	77086579099		",,,,,,,,,,,,
"RODGERS FAMILY INVESTMENTS PTY LTD                                                                  	600303688	APTY	LMSH	PROP	REGD	24/06/2014				Y	82600303688		",,,,,,,,,,,,
"IVAN HONEY AND ASSOCIATES PTY LTD                                                                   	074650785	APTY	LMSH	PROP	REGD	01/07/1996				Y	0		",,,,,,,,,,,,
"LJC POSTAL PTY LTD                                                                                  	627457087	APTY	LMSH	PROP	REGD	11/07/2018				Y	16627457087		",,,,,,,,,,,,
"PRECISION IT SERVICES PTY LTD                                                                       	631495951	APTY	LMSH	PROP	REGD	07/02/2019				Y	65631495951		",,,,,,,,,,,,
"LATER LIVING DEVELOPMENTS PTY LTD                                                                   	634257757	APTY	LMSH	PROP	REGD	20/06/2019				Y	0		",,,,,,,,,,,,
"LASER CUTTING DIRECT PTY LTD                                                                        	642245289	APTY	LMSH	PROP	REGD	01/07/2020				Y	28642245289		",,,,,,,,,,,,
"MANOAH HOUSE (SA) PTY. LTD.                                                                         	653000152	APTY	LMSH	PROP	REGD	20/08/2021				Y	0		",,,,,,,,,,,,
"PALLY PTY LTD                                                                                       	631608378	APTY	LMSH	PROP	REGD	12/02/2019				Y	0		",,,,,,,,,,,,
"REID BROS. TIMBER PTY LTD                                                                           	118338211	APTY	LMSH	PROP	REGD	14/02/2006				Y	72118338211		",,,,,,,,,,,,
"P.J.B. (VIC) PTY. LTD.                                                                              	075751030	APTY	LMSH	PROP	REGD	25/09/1996				Y	0		",,,,,,,,,,,,
"APEX COMMERCIAL KITCHENS PTY LTD	641059752	APTY	LMSH	PROP	SOFF	19/05/2020				Y	0		",,,,,,,,,,,,
"COMFORT SUPPORT SERVICES PTY LTD                                                                    	650649442	APTY	LMSH	PROP	REGD	01/06/2021				Y	31650649442		",,,,,,,,,,,,
"MICHAEL WATSON PTY LTD                                                                              	158993714	APTY	LMSH	PSTC	REGD	15/06/2012				Y	43158993714		",,,,,,,,,,,,
"STRINTZOS SUPERANNUATION FUND PTY LTD	128279103	APTY	LMSH	PSTC	REGD	01/11/2007				Y	0		",,,,,,,,,,,,
"CEASAR (AUST) PTY LIMITED                                                                           	100200422	APTY	LMSH	PROP	REGD	12/04/2002				Y	0		",,,,,,,,,,,,
"ORANGE DEALERSHIP NO2 PTY LTD                                                                       	652617608	APTY	LMSH	PROP	REGD	06/08/2021				Y	0		",,,,,,,,,,,,
"ORYX SOFTWARE PTY LTD                                                                               	100338690	APTY	LMSH	PROP	REGD	24/04/2002				Y	45100338690		",,,,,,,,,,,,
"SWITCHD FAMILY PTY LTD                                                                              	652403220	APTY	LMSH	PROP	REGD	29/07/2021				Y	81652403220		",,,,,,,,,,,,
"MCBEAN AUSTRALIA PTY LTD                                                                            	166363319	APTY	LMSH	PROP	REGD	21/10/2013				Y	15166363319		",,,,,,,,,,,,
"BAYA VENTURES PTY LTD                                                                               	646798790	APTY	LMSH	PROP	REGD	23/12/2020				Y	29646798790		",,,,,,,,,,,,
"DRILL HIRE FLEET PTY LTD                                                                            	650948931	APTY	LMSH	PROP	REGD	10/06/2021				Y	67650948931		",,,,,,,,,,,,
"L ROCKWELL PTY LTD                                                                                  	152951838	APTY	LMSH	PROP	REGD	30/08/2011				Y	30152951838		",,,,,,,,,,,,
"D&B HOWE SUPER PTY LTD                                                                              	166048291	APTY	LMSH	PSTC	REGD	30/09/2013				Y	0		",,,,,,,,,,,,
"RANA & KHAN PROPERTY GROUP PTY. LTD.                                                                	103408706	APTY	LMSH	PROP	REGD	16/01/2003				Y	72103408706		",,,,,,,,,,,,
"SPECTRUM LOGISTICS PTY LTD                                                                          	103853078	APTY	LMSH	PROP	REGD	24/02/2003				Y	0		",,,,,,,,,,,,
"KEYLINE AUTO PARTS (WA) PTY LTD                                                                     	125584125	APTY	LMSH	PROP	REGD	24/05/2007				Y	0		",,,,,,,,,,,,
"OCTAVE8 PTY LTD                                                                                     	159111421	APTY	LMSH	PROP	REGD	21/06/2012				Y	40159111421		",,,,,,,,,,,,
"SMARTER MANAGEMENT DECISIONS PTY LTD                                                                	618534071	APTY	LMSH	PROP	EXAD	12/04/2017				Y	19618534071		",,,,,,,,,,,,
"JOHNSON CUSTODIANS PTY LTD	134114122	APTY	LMSH	PSTC	REGD	11/11/2008				Y	0		",,,,,,,,,,,,
"CONCEPTIFY PTY LTD                                                                                  	623874019	APTY	LMSH	PROP	REGD	17/01/2018				Y	17623874019		",,,,,,,,,,,,
"DIRECT TIPPING PTY LTD                                                                              	138593503	APTY	LMSH	PROP	REGD	30/07/2009				Y	0		",,,,,,,,,,,,
"MENUDOGG PTY LTD	655690261	APTY	LMSH	PROP	REGD	29/11/2021				Y	73655690261		",,,,,,,,,,,,
"ECKERSLEY O'CALLAGHAN AUSTRALIA PTY LTD                                                             	639363643	APTY	LMSH	PROP	REGD	25/02/2020				Y	12639363643		",,,,,,,,,,,,
"AGVENTUROUS PTY LTD                                                                                 	634391763	APTY	LMSH	PROP	REGD	25/06/2019				Y	80634391763		",,,,,,,,,,,,
"HEATH POINT INVESTMENTS PTY. LTD.                                                                   	109905008	APTY	LMSH	PROP	REGD	06/07/2004				Y	0		",,,,,,,,,,,,
"LA TORTILLERIA PTY. LTD.	166679376	APTY	LMSH	PROP	REGD	08/11/2013				Y	32166679376		",,,,,,,,,,,,
